Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk,Rank,Reign(total),Defenses,ex_champ
Andrei Arlovski,40,75.19669999999998,The Pit Bull,16 12 (1 NC),27 18 (2 NC),Heavyweight,0,27, 18,16, 12,17.0,3.0,7.0,427.0,194.0,128.0,749.0,1790.0,7.0,25.0,3.08,3.0,0.56,0.31,59.0,79.0,0.62,08:41,571.0,137.0,41.0,15.0,0,1.0,True
Andrei Arlovski,40,75.19669999999998,The Pit Bull,16 12 (1 NC),27 18 (2 NC),Heavyweight,0,27, 18,16, 12,17.0,3.0,7.0,427.0,194.0,128.0,749.0,1790.0,7.0,25.0,3.08,3.0,0.56,0.31,59.0,79.0,0.62,08:41,571.0,137.0,41.0,15.0,246,1.0,True
Alistair Overeem,38,77.1652,The Reem,11 6,45 17 (1 NC),Heavyweight,0,45, 17,11, 6,22.0,17.0,5.0,201.0,68.0,173.0,442.0,605.0,3.0,13.0,3.7,4.79,0.5,0.38,61.0,73.0,1.00,07:58,218.0,106.0,118.0,7.0,,,False
Cain Velasquez,36,72.8345,,12 3,14 3,Heavyweight,0,14, 3,12, 3,12.0,0.0,2.0,542.0,100.0,77.0,719.0,1249.0,34.0,81.0,6.48,2.46,4.59,0.41,57.0,86.0,1.35,07:24,260.0,195.0,264.0,8.0,385,0.0,True
Cain Velasquez,36,72.8345,,12 3,14 3,Heavyweight,0,14, 3,12, 3,12.0,0.0,2.0,542.0,100.0,77.0,719.0,1249.0,34.0,81.0,6.48,2.46,4.59,0.41,57.0,86.0,1.35,07:24,260.0,195.0,264.0,8.0,896,1.0,True
Fabricio Werdum,41,75.9841,Vai Cavalo,11 6,23 8 1,Heavyweight,0,23, 8 ,11, 6,0.0,0.0,0.0,540.0,140.0,153.0,833.0,1491.0,12.0,47.0,4.74,4.42,1.02,0.34,57.0,32.0,0.34,11:00,636.0,96.0,101.0,,,,False
Todd Duffee,33,75.9841,Irish Car Bomb,3 2,9 3,Heavyweight,0,9 ,3,3,2,0.0,0.0,0.0,77.0,2.0,13.0,92.0,258.0,,,5.56,2.66,0.0,0.0,60.0,90.0,2.72,03:18,75.0,12.0,5.0,,,,False
Ben Rothwell,37,75.9841,,6 5,36 11,Heavyweight,0,36, 11,6,5,27.0,6.0,3.0,251.0,49.0,46.0,346.0,799.0,7.0,21.0,3.2,5.84,0.97,0.56,48.0,69.0,0.42,09:49,260.0,35.0,51.0,,,,False
Daniel Cormier,40,70.866,DC,15 1 (1 NC),22 1 (1 NC),Heavyweight,0,22, 1 ,15, 1 ,9.0,4.0,7.0,450.0,76.0,99.0,625.0,1218.0,17.0,45.0,3.83,3.66,1.93,0.74,58.0,78.0,0.18,12:34,312.0,178.0,135.0,0.0,303,1.0,True
Daniel Cormier,40,70.866,DC,15 1 (1 NC),22 1 (1 NC),Heavyweight,0,22, 1 ,15, 1 ,9.0,4.0,7.0,450.0,76.0,99.0,625.0,1218.0,17.0,45.0,3.83,3.66,1.93,0.74,58.0,78.0,0.18,12:34,312.0,178.0,135.0,0.0,"1,315",1.0,True
