names,reach,reach2
Andrei Arlovski,77.00,44.00
Alistair Overeem,"Dec. 30, 2011",80.00
Cain Velasquez,77.00,41.00
Fabricio Werdum,45.00,
Junior Dos Santos,77.00,41.00
Todd Duffee,,
Ben Rothwell,"Oct. 24, 2009",78.50
Daniel Cormier,"May. 20, 2012",72.50
Stipe Miocic,80.00,39.00
Walt Harris,"Dec. 01, 2013",77.00
Derrick Lewis,79.00,43.50
Marcos Rogerio De Lima,"May. 31, 2014",75.00
Aleksei Oleinik,80.00,45.00
Jarjis Danho,"Feb. 27, 2016",74.00
Shamil Abdurakhimov,"Apr. 04, 2015",76.00
Chris De La Rocha,"Jul. 18, 2015",80.25
Francis Ngannou,,
Curtis Blaydes,80.00,46.00
Cyril Asker,"Apr. 10, 2016",74.00
Marcin Tybura,78.00,46.00
Alexander Volkov,80.00,47.00
Daniel Spitz,,
Justin Willis,78.00,41.00
Junior Albini,74.00,42.00
Marcelo Golm,75.50,42.50
Adam Wieczorek,81.00,46.00
Tai Tuivasa,75.00,39.50
Allen Crowder,76.00,
Dmitry Sosnovskiy,45.00,
Blagoy Ivanov,,
Augusto Sakai,,
Maurice Greene,,
Michel Batista,,
Justin Frazier,,
Juan Espino,,
Juan Adams,81.00,45.00
Greg Hardy,,
Jairzinho Rozenstruik,,
Jeff Hughes,78.00,
Serghei Spivac,,
Ed Herman,"Jun. 24, 2006",77.00
Mauricio Rua,76.00,40.50
Jon Jones,84.50,45.00
Igor Pokrajac,,
Alexander Gustafsson,"Nov. 14, 2009",79.00
Antonio Rogerio Nogueira,"Nov. 21, 2009",75.00
Ovince Saint Preux,"Aug. 19, 2012",80.00
Daniel Cormier,"May. 20, 2012",72.50
Gian Villante,76.00,43.50
Glover Teixeira,"May. 26, 2012",76.00
Jimi Manuwa,79.50,43.00
Ilir Latifi,"Apr. 06, 2013",73.50
Thiago Santos,"Aug. 04, 2013",76.00
Nikita Krylov,"Sep. 01, 2013",77.50
Patrick Cummins,43.00,
Corey Anderson,"Jul. 06, 2014",79.00
Sam Alvey,"Aug. 16, 2014",75.50
Jake Collier,"Dec. 20, 2014",78.50
Misha Cirkunov,77.00,43.50
Anthony Smith,"Aug. 19, 2012",76.00
Ion Cutelaba,"Jun. 19, 2016",75.00
Devin Clark,"Jul. 14, 2016",75.00
Justin Ledet,80.00,43.50
Gadzhimurad Antigulov,,
Tyson Pedro,79.00,43.50
Saparbek Safarov,78.00,41.50
Paul Craig,76.00,43.00
Bojan Mihajlovic,41.00,
Volkan Oezdemir,75.00,40.50
Dominick Reyes,77.00,43.50
Eryk Anders,75.00,43.50
Abdul-Kerim Edilov,,
Aleksandar Rakic,78.00,46.00
Gokhan Saki,,
Marcin Prachnio,,
Magomed Ankalaev,75.00,46.00
Mike Rodriguez,,
Darko Stosic,,
Ryan Spann,,
Johnny Walker,,
Jimmy Crute,,
Alonzo Menifield,,
Vinicius Moreira,,
Klidson Abreu,,
Nicolae Negumereanu,,
Kennedy Nzechukwu,,
Anderson Silva,77.50,42.50
Luke Rockhold,45.00,
CB Dollaway,"Jun. 21, 2008",76.00
Ronaldo Souza,"Mar. 04, 2012",72.00
David Branch,78.00,42.00
Tim Boetsch,"Feb. 02, 2008",74.00
Brad Tavares,43.00,
Chris Weidman,78.00,42.00
Derek Brunson,77.00,43.00
Trevor Smith,75.00,41.50
Yoel Romero,"Apr. 20, 2013",73.50
Marcelo Guimaraes,,
Hector Lombard,"Jul. 21, 2012",71.00
Cezar Ferreira,"Jun. 24, 2012",78.50
Robert Whittaker,73.50,43.00
Uriah Hall,"Apr. 14, 2013",79.50
Antonio Braga Neto,,
Kelvin Gastelum,71.50,39.50
Zak Cummings,"Aug. 29, 2013",75.00
Omari Akhmedov,"Nov. 09, 2013",73.00
Krzysztof Jotko,77.00,41.00
Elias Theodorou,"Apr. 16, 2014",75.50
Antonio Carlos Junior,,
Keith Berish,,
Jared Cannonier,"Jan. 03, 2015",77.50
Tom Breese,"May. 30, 2015",73.50
Jonathan Wilson,42.00,
Alessio Di Chirico,"Apr. 10, 2016",74.00
Andrew Sanchez,74.00,41.50
Marvin Vettori,"Aug. 21, 2016",74.00
Jack Hermansson,"Sep. 03, 2016",77.50
Jack Marshman,,
Darren Stewart,74.00,41.50
Gerald Meerschaert,77.50,40.00
Paulo Costa,72.00,39.50
Trevin Giles,74.00,41.00
Karl Roberson,74.00,41.00
Markus Perez,73.00,40.50
Julian Marquez,72.00,41.00
Israel Adesanya,80.00,44.50
Charles Byrd,73.00,39.00
John Phillips,,
Oskar Piechota,76.00,42.00
Abu Azaitar,,
Kevin Holland,"Aug. 04, 2018",81.00
Khalid Murtazaliev,,
Adam Yandiev,,
Ian Heinisch,,
Edmen Shahbazyan,,
Bevon Lewis,,
Anthony Hernandez,,
Alen Amedovski,,
Marc-Andre Barriault,,
Robbie Lawler,74.00,39.00
Diego Sanchez,"Apr. 09, 2005",72.50
