Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses
Andrei Arlovski,40,75.19669999999999,The Pit Bull,16 12 (1 NC),27 18 (2 NC),Heavyweight,0,27, 18,16, 12
Alistair Overeem,38,77.1652,The Reem,11 6,45 17 (1 NC),Heavyweight,0,45, 17,11, 6
Cain Velasquez,36,72.8345,,12 3,14 3,Heavyweight,0,14, 3,12, 3
Fabrício Werdum,41,75.9841,Vai Cavalo,11 6,23 8 1,Heavyweight,0,23, 8 ,11, 6
Junior dos Santos,35,75.9841,Cigano,15 4,21 5,Heavyweight,0,21, 5,15, 4
Todd Duffee,33,75.9841,Irish Car Bomb,3 2,9 3,Heavyweight,0,9 ,3,3 ,2
Ben Rothwell,37,75.9841,,6 5,36 11,Heavyweight,0,36, 11,6 ,5
Daniel Cormier,40,70.866,DC,15 1 (1 NC),22 1 (1 NC),Heavyweight,0,22, 1 ,15, 1 
Stipe Miočić,36,75.9841,,12 3,18 3,Heavyweight,0,18, 3,12, 3
Walt Harris,35,77.1652,The Big Ticket,5 6 (1 NC),12 7 (1 NC),Heavyweight,0,12, 7 ,5 ,6  
Derrick Lewis,34,75.19669999999999,Black Beast,12 5,21 7 (1 NC),Heavyweight,0,21, 7 ,12, 5
Marcos Rogério de Lima,33,72.8345,Pezão,5 5,16 6 1,Heavyweight,0,16, 6 ,5 ,5
Aleksei Oleinik,41,74.01559999999999,The Boa Constrictor,6 3,57 12 1,Heavyweight,0,57, 12,6 ,3
Jarjis Danho,35,75.19669999999999,Man Mountain,0 1 1,5 1 1 (1 NC),Heavyweight,0,5 ,1 1,0 ,1 1
Shamil Abdurakhimov,37,75.19669999999999,Abrek,5 2,20 4,Heavyweight,0,20, 4,5 ,2
Chris de la Rocha,39,75.19669999999999,,1 3,5 3,Heavyweight,0,5 ,3,1 ,3
Francis Ngannou,32,75.9841,The Predator,8 2,13 3,Heavyweight,0,13, 3,8 ,2
Curtis Blaydes,28,75.9841,Razor,6 2 (1 NC),11 2 (1 NC),Heavyweight,0,11, 2 ,6 ,2  
Cyril Asker,33,72.0471,Silverback,2 3,9 4,Heavyweight,0,9 ,4,2 ,3
Marcin Tybura,33,75.19669999999999,Tybur,4 4,17 5,Heavyweight,0,17, 5,4 ,4
Alexander Volkov,30,79.13369999999999,Drago,4 1,30 7,Heavyweight,0,30, 7,4 ,1
Dmitry Smolyakov,36,74.01559999999999,The Lifeguard,0 3,9 3,Heavyweight,0,9 ,3,0 ,3
Daniel Spitz,28,79.13369999999999,Daddy Long Legs,1 2,6 2,Heavyweight,0,6 ,2,1 ,2
Justin Willis,31,75.19669999999999,Big Pretty,4 1,8 2,Heavyweight,0,8 ,2,4 ,1
Júnior Albini,28,75.19669999999999,Baby,1 3,14 5,Heavyweight,0,14, 5,1 ,3
Arjan Bhullar,32,72.8345,Singh,3 1,9 1,Heavyweight,0,9 ,1,3 ,1
Marcelo Golm,26,75.19669999999999,,1 3,6 3,Heavyweight,0,6 ,3,1 ,3
Adam Wieczorek,27,77.1652,Siwy,2 1,10 2,Heavyweight,0,10, 2,2 ,1
Tai Tuivasa,26,74.01559999999999,Bam Bam,3 1,8 1,Heavyweight,0,8 ,1,3 ,1
Allen Crowder,29,75.19669999999999,Pretty Boy,1 1,10 3 (1 NC),Heavyweight,0,10, 3 ,1 ,1
Dmitry Sosnovskiy,29,75.19669999999999,Wicked Machine,1 0,11 0,Heavyweight,0,11, 0,1 ,0
Blagoy Ivanov,32,70.866,Baga,1 1,17 2 (1 NC),Heavyweight,0,17, 2 ,1 ,1
Augusto Sakai,27,75.9841,,2 0,13 1 1,Heavyweight,0,13, 1 ,2 ,0
Sergei Pavlovich,26,75.19669999999999,,1 1,13 1,Heavyweight,0,13, 1,1 ,1
Maurice Greene,32,79.13369999999999,The Pirate,2 0,7 2,Heavyweight,0,7 ,2,2 ,0
Michel Batista,35,75.19669999999999,,0 1,4 1 (1 NC),Heavyweight,0,4 ,1  ,0 ,1
Justin Frazier,29,72.0471,The Grizzly Bear,0 1,10 3,Heavyweight,0,10, 3,0 ,1
Juan Espino,38,75.9841,El Guapo,1 0,9 1,Heavyweight,0,9 ,1,1 ,0
Juan Adams,27,77.1652,The Kraken,1 1,5 1,Heavyweight,0,5 ,1,1 ,1
Greg Hardy,30,77.1652,,1 1,4 1,Heavyweight,0,4 ,1,1 ,1
Jairzinho Rozenstruik,31,74.01559999999999,Bigi Boy,1 0,7 0,Heavyweight,0,7 ,0,1 ,0
